"sqft","floor","max_floor","rooms","finishing ","type_of_housing","subway","time_to_subway","transport_accessibility","park","time_to_park","reservoirs","mall","shool","time_to school","hospital","time_to_hospital","kindergarten","time_to_kindergarten","time_to_bar","parking_space","price","link"
"37.9","7","8","2","нет","новостройка","петровский парк","6","8.3","петровский парк","2","нет","aviapark","№1601","3","GKB № 21","8","Smile fish","3","7","да","18912100","https://www.cian.ru/sale/flat/307295863/"
"129.5","10","41","4","да","новостройка","цска","12","7.4","петровский парк","5","нет","aviapark","№1601","6","GKB № 22","15","Smile fish","9","8","да","78598200","https://www.cian.ru/sale/flat/305654488/"
"55.9","2","41","2","да","новостройка","цска","12","7.4","петровский парк","5","нет","aviapark","№1601","5","GKB № 23","15","Smile fish","9","8","да","34330240","https://www.cian.ru/sale/flat/305654526/"
"80","5","19","3","нет","новостройка","динамо","6","","Dynamo Park","5","нет","aviapark","№1601","2","GKB № 24","15","Smile fish","9","12","да","44000000","https://www.cian.ru/sale/flat/288051035/"
"75.3","5","21","2","да","новостройка","белорусская","9","7.5","Miussky Square","10","нет","Yamskoye Field","№ 1574","8","GBUZ №  62 phyllial №  4","9","Smile fish","3","4","да","41220000","https://www.cian.ru/sale/flat/303477035/"
"38.7","3","6","2","да","новостройка","новослободская","9","","Delegate Park","6","Antropovsky Pond","friendship","№ 1574","3","Invitro","2","discovery preschool","1","3","да","38313000","https://www.cian.ru/sale/flat/305369283/"
"229.9","5","6","6","да","новостройка","новослободская","5","","Delegate Park","6","Antropovsky Pond","friendship","№ 1574","3","Invitro","3","discovery preschool","1","2","да","436810000","https://www.cian.ru/sale/flat/306335108/"
"65.5","2","6","3","да","новостройка","новослободская","5","","Delegate Park","6","Antropovsky Pond","friendship","№ 1574","3","Invitro","3","discovery preschool","1","2","да","62225000","https://www.cian.ru/sale/flat/305369288/"
"237.4","5","6","6","да","новостройка","новослободская","5","","Delegate Park","6","Antropovsky Pond","friendship","№ 1574","3","Invitro","3","discovery preschool","1","2","да","451060000","https://www.cian.ru/sale/flat/306335109/"
"152","2","4","4","нет","новостройка","цветной бульвар","9","8.8","Catherine Square","2","Bolshoy Catherine Pond","Olympic Plaza","№ 2054","7","MMOTS","4","№ 2054","5","8","да","110960000","https://www.cian.ru/sale/flat/309024355/"
"124.7","4","4","3","да","новостройка","цветной бульвар","9","8.8","Catherine Square","3","Bolshoy Catherine Pond","Olympic Plaza","№ 2055","8","MMOTS","4","№ 2055","6","8","да","96642000","https://www.cian.ru/sale/flat/309024354/"
"63.2","4","4","2","да","новостройка","цветной бульвар","9","8.8","Catherine Square","4","Bolshoy Catherine Pond","Olympic Plaza","№ 2056","9","MMOTS","4","№ 2056","7","8","да","56880000","https://www.cian.ru/sale/flat/309024352/"
"38.7","4","4","1","да","новостройка","цветной бульвар","9","8.8","Catherine Square","5","Bolshoy Catherine Pond","Olympic Plaza","№ 2057","10","MMOTS","4","№ 2057","8","8","да","34830000","https://www.cian.ru/sale/flat/309024349/"
"81","2","4","2","да","новостройка","цветной бульвар","9","8.8","Catherine Square","6","Bolshoy Catherine Pond","Olympic Plaza","№ 2058","11","MMOTS","4","№ 2058","9","8","да","68850000","https://www.cian.ru/sale/flat/309028906/"
"206.8","3","4","4","да","новостройка","цветной бульвар","9","8.8","Catherine Square","7","Bolshoy Catherine Pond","Olympic Plaza","№ 2059","12","MMOTS","4","№ 2059","10","8","да","142560000","https://www.cian.ru/sale/flat/309024357/"
"256.2","3","4","6","да","новостройка","цветной бульвар","9","8.8","Catherine Square","8","Bolshoy Catherine Pond","Olympic Plaza","№ 2060","13","MMOTS","4","№ 2060","11","8","да","179218000","https://www.cian.ru/sale/flat/309024358/"
"85.4","10","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2107","6","Research Institute of Emergency Medicine","3","№ 1500","2","10","да","53492401","https://www.cian.ru/sale/flat/298576225/"
"85.8","19","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2108","6","Research Institute of Emergency Medicine","3","№ 1501","2","10","да","57192978","https://www.cian.ru/sale/flat/298576247/"
"84.1","11","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2109","6","Research Institute of Emergency Medicine","3","№ 1502","2","10","да","54858490","https://www.cian.ru/sale/flat/298576228/"
"83.9","3","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2110","6","Research Institute of Emergency Medicine","3","№ 1503","2","10","да","50884000","https://www.cian.ru/sale/flat/298576221/"
"85.3","3","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2111","6","Research Institute of Emergency Medicine","3","№ 1504","2","10","да","50729815","https://www.cian.ru/sale/flat/298576219/"
"85.5","5","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2112","6","Research Institute of Emergency Medicine","3","№ 1505","2","10","да","51431829","https://www.cian.ru/sale/flat/298576223/"
"42.6","17","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2113","6","Research Institute of Emergency Medicine","3","№ 1506","2","10","да","32304178","https://www.cian.ru/sale/flat/303491144/"
"67.7","2","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2114","6","Research Institute of Emergency Medicine","3","№ 1507","2","10","да","42355790","https://www.cian.ru/sale/flat/298576255/"
"49.8","15","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2115","6","Research Institute of Emergency Medicine","3","№ 1508","2","10","да","36558799","https://www.cian.ru/sale/flat/298576268/"
"66.7","7","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2116","6","Research Institute of Emergency Medicine","3","№ 1509","2","10","да","441115010","https://www.cian.ru/sale/flat/298576257/"
